record_type,id,key,value,tail_terminal,departure_slot,head_terminal,arrival_slot,duration_slots,cost,cargo_eligible,path_legs,text
metadata,,title,Cyclic Freight Service Design with Cross-Dock Handling,,,,,,,,,
parameter,,period_slots,4,,,,,,,,,
parameter,,tractor_fleet_size,2,,,,,,,,,
parameter,,waiting_allowed_at_all_terminals,true,,,,,,,,,
parameter,,waiting_cost_per_slot,0,,,,,,,,,
shipment,,quantity,1,,,,,,,,,
shipment,,indivisible,true,,,,,,,,,
shipment,,origin,O0,,,,,,,,,
shipment,,destination,D,,,,,,,,,
shipment,,release_slot,0,,,,,,,,,
shipment,,due_slot,3,,,,,,,,,
crossdock,,terminal,H,,,,,,,,,
crossdock,,handling_slots,1,,,,,,,,,
leg,F1,,,O,0,H,1,1,2,true,,
leg,R1,,,H,1,O,0,3,2,false,,
leg,F2,,,H,1,D,2,1,2,true,,
leg,R2,,,D,2,H,1,3,2,false,,
leg,F3,,,H,2,D,3,1,10,true,,
leg,R3,,,D,3,H,2,3,10,false,,
leg,F4,,,O,0,D,3,3,7.5,true,,
leg,R4,,,D,3,O,0,1,7.5,false,,
path,direct,,,,,,,,,,F4,
path,late_transfer,,,,,,,,,,F1|F3,
path,zero_handling_relaxation_only,,,,,,,,,,F1|F2,
provenance,,,,,,,,,,,,"Original synthetic statement and data created for OR-Bench; no upstream data or code copied. Statement and data: CC BY 4.0; code: MIT."
